Section        Type             Brand            Name                   Price       Qty
grocery        snack            Doritos          Nacho-Cheese           50          12
grocery        snack            Doritos          Spicy-Sweet-Chili      50          15
grocery        snack            Bingo            Masala-Twist           10          15
grocery        snack            Bingo            Original-Salted        10          18
grocery        snack            Tostitos         Lime                   70          10
grocery        snack            Tostitos         Blue-Corn              80          12
grocery        fruit            Local            Bananas                60          12
grocery        fruit            Local            Mangoes                100         8
grocery        fruit            Freshco          Apples                 100         9
grocery        fruit            Freshco          Oranges                90          7
grocery        fruit            Del-Monte        Grapes                 120         7
grocery        fruit            Del-Monte        Strawberries           150         5
grocery        fruit            Nature's-Best    Pineapple              80          11
grocery        fruit            Nature's-Best    Watermelon             60          13
grocery        fruit            SunFresh         Kiwi                   200         6
grocery        fruit            SunFresh         Papaya                 70          10
grocery        beverage         Coca-Cola        Coke-Zero              50          30
grocery        beverage         Coca-Cola        Diet-Coke              50          25
grocery        beverage         Pepsi            Pepsi-Max              45          20
grocery        beverage         Pepsi            7Up                    40          18
grocery        beverage         Tropicana        Orange-Juice           120         15
grocery        beverage         Tropicana        Mixed-Fruit-Juice      110         12
grocery        beverage         Minute-Maid      Apple-Juice            90          20
grocery        beverage         Minute-Maid      Mango-Juice            80          15
grocery        beverage         Red-Bull         Energy-Drink           100         20
grocery        beverage         Monster          Ultra-Sunrise          120         10
grocery        dairy            Amul             Butter                 50          20
grocery        dairy            Amul             Cheese                 200         18
grocery        dairy            Nestle           Milk                   45          30
grocery        dairy            Nestle           Yogurt                 60          25
grocery        dairy            Mother-Dairy     Paneer                 150         12
grocery        dairy            Mother-Dairy     Ice-Cream              200         18
grocery        dairy            Organic-Valley   Cream-Cheese           250         10
grocery        dairy            Organic-Valley   Sour-Cream             200         7
grocery        bakery           Britannia        Bread                  30          12
grocery        bakery           Britannia        Buns                   20          20
grocery        bakery           Harvest-Gold     Wheat-Bread            25          15
grocery        bakery           Harvest-Gold     Multigrain-Bread       35          10
grocery        bakery           Modern-Foods     Garlic-Bread           40          8
grocery        bakery           Modern-Foods     Burger-Buns            20          18
fashion        shirt            H&M              Slim-Fit               1500        10
fashion        shirt            H&M              Oversized-Tee          1000        8
fashion        shirt            Zara             Cotton-Casual          1800        8
fashion        shirt            Zara             Striped-Polo           1600        5
fashion        shirt            Uniqlo           Linen-Blend            1200        5
fashion        shirt            Uniqlo           Oxford-Shirt           1400        7
fashion        shirt            Levi's           Denim-Shirt            2000        6
fashion        shirt            Levi's           Flannel-Shirt          2200        4
fashion        jeans            Levi's           501-Original           3000        7
fashion        jeans            Levi's           512-Slim               3200        6
fashion        jeans            Wrangler         Slim-Fit               2500        4
fashion        jeans            Wrangler         Straight-Leg           2300        5
fashion        jeans            Lee              Regular-Fit            2700        6
fashion        jeans            Lee              Tapered-Fit            2800        4
fashion        jeans            Pepe-Jeans       Skinny-Fit             2200        8
fashion        jeans            Pepe-Jeans       Comfort-Fit            2000        7
fashion        shoes            Nike             Air-Max                5000        4
fashion        shoes            Nike             Jordan-1               8000        2
fashion        shoes            Adidas           Ultraboost             6000        5
fashion        shoes            Adidas           Superstar              4000        6
fashion        shoes            Puma             Suede-Classic          3500        7
fashion        shoes            Puma             RS-X                   4000        5
fashion        shoes            Skechers         Go-Walk-5              3000        4
fashion        shoes            Skechers         Elite-Flex             3500        3
